PXD040399	10117404	Rural hospitals' viability and strategic responses. 	Systemic LRG1 expression in melanoma is associated with disease progression and recurrence	LRG1, checkpoint inhibitor, melanoma, serum, systemic immune suppression	In 1989 the Catholic Health Association, in conjunction with the University of Iowa Center for Health Services Research, surveyed chief executive officers (CEOs) of rural hospitals regarding their hospital's viability and strategic behaviors and orientations. An extensive questionnaire was sent to the CEOs of all Catholic, all other religious not-for-profit, and all investor-owned rural hospitals, as well as to a 50 percent random sample of government and other not-for-profit rural hospitals. CEOs on average perceived that their hospital's viability relative to that of other rural hospitals was higher in 1989 than it had been in 1987. Ninety-four percent of hospitals whose CEOs perceived an increase in viability had been medium- or low-viability hospitals two years earlier. Thus, despite reports of deteriorating conditions for rural hospitals, rural hospital CEOs appeared to be relatively optimistic regarding their institution's viability. Changes in strategic direction accompanied these perceived increases in viability. The predominant strategic orientation adopted by rural hospitals in 1987 was that of the defender, but many hospitals that used this approach switched to the analyzer orientation by 1989. Significant shifts also occurred toward the reactor orientation from the analyzer and defender orientations. A greater percentage of hospitals with a perceived increase in viability between 1987 and 1989 altered their organizational role. The most common change for these hospitals was from limited care to basic care.
PXD004394	25838814	An integrated quantification method to increase the precision, robustness, and resolution of protein measurement in human plasma samples. 	Integrated Quantification method for precise and robust protein measurement in clinical proteomics, study 1	SRM, selected reaction monitoring, targeted	BACKGROUND: Current quantification methods for mass spectrometry (MS)-based proteomics either do not provide sufficient control of variability or are difficult to implement for routine clinical testing. RESULTS: We present here an integrated quantification (InteQuan) method that better controls pre-analytical and analytical variability than the popular quantification method using stable isotope-labeled standard peptides (SISQuan). We quantified 16 lung cancer biomarker candidates in human plasma samples in three assessment studies, using immunoaffinity depletion coupled with multiple reaction monitoring (MRM) MS. InteQuan outperformed SISQuan in precision in all three studies and tolerated a two-fold difference in sample loading. The three studies lasted over six months and encountered major changes in experimental settings. Nevertheless, plasma proteins in low ng/ml to low mug/ml concentrations were measured with a median technical coefficient of variation (CV) of 11.9% using InteQuan. The corresponding median CV using SISQuan was 15.3% after linear fitting. Furthermore, InteQuan surpassed SISQuan in measuring biological difference among clinical samples and in distinguishing benign versus cancer plasma samples. CONCLUSIONS: We demonstrated that InteQuan is a simple yet robust quantification method for MS-based quantitative proteomics, especially for applications in biomarker research and in routine clinical testing.
PXD001105	25839225	Wide-scale quantitative phosphoproteomic analysis reveals that cold treatment of T cells closely mimics soluble antibody stimulation. 	Quantitative phosphoprotoemic analysis of cold induced signaling in jurkat cells	Jurkat, cold induced, label free, phosphorylated	The activation of T lymphocytes through antigen-mediated T cell receptor (TCR) clustering is vital in regulating the adaptive immune response. Although T cell receptor signaling has been extensively studied, the fundamental mechanisms for signal initiation are not fully understood. Reduced temperatures have initiated some of the hallmarks of TCR signaling, such as increased phosphorylation and activation on ERK and calcium release from the endoplasmic reticulum, as well as coalesced the T cell membrane microdomains. The precise mechanism of the TCR signaling initiation due to temperature change remains obscure. One critical question is whether the signaling initiated by the cold treatment of T cells differs from the signaling initiated by the cross-linking of the T cell receptor. To address this uncertainty, we performed a wide-scale, quantitative mass-spectrometry-based phosphoproteomic analysis on T cells stimulated either by temperature shifts or through the cross-linking of the TCR. Careful statistical comparisons between the two stimulations revealed a striking level of identity among the subset of 339 sites that changed significantly with both stimulations. This study demonstrates for the first time, in unprecedented detail, that T cell cold treatment was sufficient to initiate signaling patterns that were nearly identical to those of soluble antibody stimulation, shedding new light on the mechanism of activation of these critically important immune cells.
PXD000936	25845586	iTRAQ-based quantitative proteomic analysis of Pseudomonas aeruginosa SJTD-1: A global response to n-octadecane induced stress. 	iTRAQ based quantify for pseudomonas	Pseudomonas aeruginosa SJTD-1, iTRAQ, n-octadecane	N-octadecane, the shortest solid-state alkane, was efficiently consumed by Pseudomonas aeruginosa SJTD-1. To reveal its mechanism, the iTRAQ-LC-MS/MS strategy was applied for quantification of proteins in response to alkane. As a result, 383 alkane-responsive proteins were identified and these proteins could be linked to multiple biochemical pathways. Above all, the level of alkane hydroxylase AlkB2 has been significantly higher in alkane condition. Also, the presence of a putative novel AlmA-like monooxygenase and its role on alkane hydroxylation were firstly proposed in Pseudomonas. In addition, other proteins for chemotaxic, beta-oxidation, glyoxylate bypass, alkane uptake, cross membrane transport, enzymatic steps and the carbon flow may have important roles in the cellular response to alkane. Most of those differently expressed proteins were functionally mapped into pathways of alkane degradation or metabolism thereof. In this sense, findings in this study provide critical clues to reveal biodegradation of long chain n-alkanes and rationally be important for potent biocatalyst for bioremediation in future. BIOLOGICAL SIGNIFICANCE: We use iTRAQ strategy firstly to compare the proteomes of Pseudomonas SJTD-1 degrading alkane. Changes in protein clearly provide a comprehensive overview on alkane hydroxylation of SJTD-1, including those proteins for chemotaxis, alkane uptake, cross membrane transport, enzymatic steps and the carbon flow. AlkB2 and a putative novel AlmA-like monooxygenase have been highlighted for their outstanding contribution to alkane use. We found that several chemotaxic proteins were altered in abundance in alkane-grown cells. These results may be helpful for understanding alkane use for Pseudomonas.
PXD001666	25847399	Quantitative proteomics of heat-treated human cells show an across-the-board mild depletion of housekeeping proteins to massively accumulate few HSPs. 	Quantitative proteomics of heat-treated human cells show an across-the-board mild depletion of housekeeping proteins to massively accumulate few HSPs	T-cells, chaperones, heat shock, mRNA, stress response	Classic semiquantitative proteomic methods have shown that all organisms respond to a mild heat shock by an apparent massive accumulation of a small set of proteins, named heat-shock proteins (HSPs) and a concomitant slowing down in the synthesis of the other proteins. Yet unexplained, the increased levels of HSP messenger RNAs (mRNAs) may exceed 100 times the ensuing relative levels of HSP proteins. We used here high-throughput quantitative proteomics and targeted mRNA quantification to estimate in human cell cultures the mass and copy numbers of the most abundant proteins that become significantly accumulated, depleted, or unchanged during and following 4 h at 41 degreesC, which we define as mild heat shock. This treatment caused a minor across-the-board mass loss in many housekeeping proteins, which was matched by a mass gain in a few HSPs, predominantly cytosolic HSPCs (HSP90s) and HSPA8 (HSC70). As the mRNAs of the heat-depleted proteins were not significantly degraded and less ribosomes were recruited by excess new HSP mRNAs, the mild depletion of the many housekeeping proteins during heat shock was attributed to their slower replenishment. This differential protein expression pattern was reproduced by isothermal treatments with Hsp90 inhibitors. Unexpectedly, heat-treated cells accumulated 55 times more new molecules of HSPA8 (HSC70) than of the acknowledged heat-inducible isoform HSPA1A (HSP70), implying that when expressed as net copy number differences, rather than as mere "fold change" ratios, new biologically relevant information can be extracted from quantitative proteomic data. Raw data are available via ProteomeXchange with identifier PXD001666.
PXD000227	25848929	Specific pools of endogenous peptides are present in gametophore, protonema, and protoplast cells of the moss Physcomitrella patens. 	Analysis of the peptidome of the moss Physcomitrella patens	Physcomitrella patens, endogenous peptide, moss, plant peptidome	BACKGROUND: Protein degradation is a basic cell process that operates in general protein turnover or to produce bioactive peptides. However, very little is known about the qualitative and quantitative composition of a plant cell peptidome, the actual result of this degradation. In this study we comprehensively analyzed a plant cell peptidome and systematically analyzed the peptide generation process. RESULTS: We thoroughly analyzed native peptide pools of Physcomitrella patens moss in two developmental stages as well as in protoplasts. Peptidomic analysis was supplemented by transcriptional profiling and quantitative analysis of precursor proteins. In total, over 20,000 unique endogenous peptides, ranging in size from 5 to 78 amino acid residues, were identified. We showed that in both the protonema and protoplast states, plastid proteins served as the main source of peptides and that their major fraction formed outside of chloroplasts. However, in general, the composition of peptide pools was very different between these cell types. In gametophores, stress-related proteins, e.g., late embryogenesis abundant proteins, were among the most productive precursors. The Driselase-mediated protonema conversion to protoplasts led to a peptide generation "burst", with a several-fold increase in the number of components in the latter. Degradation of plastid proteins in protoplasts was accompanied by suppression of photosynthetic activity. CONCLUSION: We suggest that peptide pools in plant cells are not merely a product of waste protein degradation, but may serve as important functional components for plant metabolism. We assume that the peptide "burst" is a form of biotic stress response that might produce peptides with antimicrobial activity from originally functional proteins. Potential functions of peptides in different developmental stages are discussed.
PXD001873	25849741	Quantitative analysis of the TNF-alpha-induced phosphoproteome reveals AEG-1/MTDH/LYRIC as an IKKbeta substrate. 	MCF-7 phosphoproteome LC-MS/MS	IKKb, MCF-7, TNF stimulation, phosphoproteome	The inhibitor of the nuclear factor-kappaB (IkappaB) kinase (IKK) complex is a key regulator of the canonical NF-kappaB signalling cascade and is crucial for fundamental cellular functions, including stress and immune responses. The majority of IKK complex functions are attributed to NF-kappaB activation; however, there is increasing evidence for NF-kappaB pathway-independent signalling. Here we combine quantitative mass spectrometry with random forest bioinformatics to dissect the TNF-alpha-IKKbeta-induced phosphoproteome in MCF-7 breast cancer cells. In total, we identify over 20,000 phosphorylation sites, of which ~1% are regulated up on TNF-alpha stimulation. We identify various potential novel IKKbeta substrates including kinases and regulators of cellular trafficking. Moreover, we show that one of the candidates, AEG-1/MTDH/LYRIC, is directly phosphorylated by IKKbeta on serine 298. We provide evidence that IKKbeta-mediated AEG-1 phosphorylation is essential for IkappaBalpha degradation as well as NF-kappaB-dependent gene expression and cell proliferation, which correlate with cancer patient survival in vivo.
PXD001560	25850435	A Phosphoproteomic Comparison of B-RAFV600E and MKK1/2 Inhibitors in Melanoma Cells. 	ï»¿A phosphoproteomic comparison of B-RAFV600E and MKK1/2 inhibitors in melanoma cells, part 1	AZD6244, Melanoma, PLX4032, SILAC	Inhibitors of oncogenic B-RAF(V600E) and MKK1/2 have yielded remarkable responses in B-RAF(V600E)-positive melanoma patients. However, the efficacy of these inhibitors is limited by the inevitable onset of resistance. Despite the fact that these inhibitors target the same pathway, combination treatment with B-RAF(V600E) and MKK1/2 inhibitors has been shown to improve both response rates and progression-free survival in B-RAF(V600E) melanoma patients. To provide insight into the molecular nature of the combinatorial response, we used quantitative mass spectrometry to characterize the inhibitor-dependent phosphoproteome of human melanoma cells treated with the B-RAF(V600E) inhibitor PLX4032 (vemurafenib) or the MKK1/2 inhibitor AZD6244 (selumetinib). In three replicate experiments, we quantified changes at a total of 23,986 phosphosites on 4784 proteins. This included 1317 phosphosites that reproducibly decreased in response to at least one inhibitor. Phosphosites that responded to both inhibitors grouped into networks that included the nuclear pore complex, growth factor signaling, and transcriptional regulators. Although the majority of phosphosites were responsive to both inhibitors, we identified 16 sites that decreased only in response to PLX4032, suggesting rare instances where oncogenic B-RAF signaling occurs in an MKK1/2-independent manner. Only two phosphosites were identified that appeared to be uniquely responsive to AZD6244. When cells were treated with the combination of AZD6244 and PLX4032 at subsaturating concentrations (30 nm), responses at nearly all phosphosites were additive. We conclude that AZD6244 does not substantially widen the range of phosphosites inhibited by PLX4032 and that the benefit of the drug combination is best explained by their additive effects on suppressing ERK1/2 signaling. Comparison of our results to another recent ERK1/2 phosphoproteomics study revealed a surprising degree of variability in the sensitivity of phosphosites to MKK1/2 inhibitors in human cell lines, revealing unexpected cell specificity in the molecular responses to pathway activation.
PXD001929	25871631	Label-free protein quantification in freshly ejaculated versus post-mating spermatophores of the noble crayfish Astacus astacus. 	Label-free protein quantification in freshly ejaculated versus post-mating spermatophores of the noble crayfish Astacus astacus	alpha-2-macroglobulin, hemocyanin, histone, ryanodine receptor, sodium/hydrogen exchanger	Crayfish spermatophores are deposited on the body surface of the female during mating and remain there for a period of time before fertilization ensues. Post-mating changes in protein expression level in the noble crayfish Astacus astacus spermatophore were quantified. In-gel digestion and high resolution mass spectrometry were used for label-free protein quantification. One hundred twelve proteins were identified in the spermatophore of noble crayfish. After 7 days of storage on the body of the female, 6 proteins were identified in the post-mating spermatophore that showed significant up-regulation and 4 significant down-regulations (p < 0.05, fold change >= 2). The highest rate of up-regulation was observed in sodium/hydrogen exchanger, which may indicate the importance of intracellular pH adjustment for final maturation of the crayfish spermatozoon. The highest rate of down-regulation was observed in histone H2A. This may increase chromatin flexibility and facilitate its transfer into the oocyte during fertilization. The vitellogenin protein was identified in the crayfish spermatophore and its level changed during storage on the body surface of female. Extensive proteomic modification of male gametes during storage on the body surface of the female suggests post-mating final maturation of the crayfish spermatozoon. BIOLOGICAL SIGNIFICANCE: Freshwater crayfish comprise a large and diverse group of ecologically and commercially important animals. Molecular studies of gametes in the crayfish can provide insight into the complex process of reproduction in this diverse group of animals. The results of such studies can be used for development of new techniques for artificial reproduction of these economically important species.
PXD001831	25873915	Phosphoproteome of the cyanobacterium Synechocystis sp. PCC 6803 and its dynamics during nitrogen starvation. 	Phosphoproteome of the cyanobacterium Synechocystis sp. PCC 6803 and its dynamics during nitrogen starvation	Cyanobacteria, LTQ-Orbitrap, Nitrogen starvation, Phosphoproteome, Synechocystis sp. PCC 6803, peptide dimethylation labeling	Cyanobacteria have shaped the earth's biosphere as the first oxygenic photoautotrophs and still play an important role in many ecosystems. The ability to adapt to changing environmental conditions is an essential characteristic in order to ensure survival. To this end, numerous studies have shown that bacteria use protein post-translational modifications such as Ser/Thr/Tyr phosphorylation in cell signaling, adaptation, and regulation. Nevertheless, our knowledge of cyanobacterial phosphoproteomes and their dynamic response to environmental stimuli is relatively limited. In this study, we applied gel-free methods and high accuracy mass spectrometry toward the detection of Ser/Thr/Tyr phosphorylation events in the model cyanobacterium Synechocystis sp. PCC 6803. We could identify over 300 phosphorylation events in cultures grown on nitrate as exclusive nitrogen source. Chemical dimethylation labeling was applied to investigate proteome and phosphoproteome dynamics during nitrogen starvation. Our dataset describes the most comprehensive (phospho)proteome of Synechocystis to date, identifying 2382 proteins and 183 phosphorylation events and quantifying 2111 proteins and 148 phosphorylation events during nitrogen starvation. Global protein phosphorylation levels were increased in response to nitrogen depletion after 24 h. Among the proteins with increased phosphorylation, the PII signaling protein showed the highest fold-change, serving as positive control. Other proteins with increased phosphorylation levels comprised functions in photosynthesis and in carbon and nitrogen metabolism. This study reveals dynamics of Synechocystis phosphoproteome in response to environmental stimuli and suggests an important role of protein Ser/Thr/Tyr phosphorylation in fundamental mechanisms of homeostatic control in cyanobacteria.
PXD000644	25874956	Comprehensive analysis of temporal alterations in cellular proteome of Bacillus subtilis under curcumin treatment. 	Bacillus subtilis under Curcumin treatment LC-MS/MS	Bacillus, Curcumin	Curcumin is a natural dietary compound with antimicrobial activity against various gram positive and negative bacteria. This study aims to investigate the proteome level alterations in Bacillus subtilis due to curcumin treatment and identification of its molecular/cellular targets to understand the mechanism of action. We have performed a comprehensive proteomic analysis of B. subtilis AH75 strain at different time intervals of curcumin treatment (20, 60 and 120 min after the drug exposure, three replicates) to compare the protein expression profiles using two complementary quantitative proteomic techniques, 2D-DIGE and iTRAQ. To the best of our knowledge, this is the first comprehensive longitudinal investigation describing the effect of curcumin treatment on B. subtilis proteome. The proteomics analysis revealed several interesting targets such UDP-N-acetylglucosamine 1-carboxyvinyltransferase 1, putative septation protein SpoVG and ATP-dependent Clp protease proteolytic subunit. Further, in silico pathway analysis using DAVID and KOBAS has revealed modulation of pathways related to the fatty acid metabolism and cell wall synthesis, which are crucial for cell viability. Our findings revealed that curcumin treatment lead to inhibition of the cell wall and fatty acid synthesis in addition to differential expression of many crucial proteins involved in modulation of bacterial metabolism. Findings obtained from proteomics analysis were further validated using 5-cyano-2,3-ditolyl tetrazolium chloride (CTC) assay for respiratory activity, resazurin assay for metabolic activity and membrane integrity assay by potassium and inorganic phosphate leakage measurement. The gene expression analysis of selected cell wall biosynthesis enzymes has strengthened the proteomics findings and indicated the major effect of curcumin on cell division.
PXD001871	25887480	Proteomic analysis of Citrus sinensis roots and leaves in response to long-term magnesium-deficiency. 	Proteomic analysis of Citrus sinensis roots and leaves in response to long-term magnesium-deficiency	Citrus sinensis, Proteomic analysis	BACKGROUND: Magnesium (Mg)-deficiency is frequently observed in Citrus plantations and is responsible for the loss of productivity and poor fruit quality. Knowledge on the effects of Mg-deficiency on upstream targets is scarce. Seedlings of 'Xuegan' [Citrus sinensis (L.) Osbeck] were irrigated with Mg-deficient (0 mM MgSO4) or Mg-sufficient (1 mM MgSO4) nutrient solution for 16 weeks. Thereafter, we first investigated the proteomic responses of C. sinensis roots and leaves to Mg-deficiency using two-dimensional electrophoresis (2-DE) in order to (a) enrich our understanding of the molecular mechanisms of plants to deal with Mg-deficiency and (b) understand the molecular mechanisms by which Mg-deficiency lead to a decrease in photosynthesis. RESULTS: Fifty-nine upregulated and 31 downregulated protein spots were isolated in Mg-deficient leaves, while only 19 upregulated and 12 downregulated protein spots in Mg-deficient roots. Many Mg-deficiency-responsive proteins were involved in carbohydrate and energy metabolism, followed by protein metabolism, stress responses, nucleic acid metabolism, cell wall and cytoskeleton metabolism, lipid metabolism and cell transport. The larger changes in leaf proteome versus root one in response to Mg-deficiency was further supported by our observation that total soluble protein concentration was decreased by Mg-deficiency in leaves, but unaffected in roots. Mg-deficiency had decreased levels of proteins [i.e. ribulose-1,5-bisphosphate carboxylase (Rubisco), rubisco activase, oxygen evolving enhancer protein 1, photosynthetic electron transfer-like protein, ferredoxin-NADP reductase (FNR), aldolase] involved in photosynthesis, thus decreasing leaf photosynthesis. To cope with Mg-deficiency, C. sinensis leaves and roots might respond adaptively to Mg-deficiency through: improving leaf respiration and lowering root respiration, but increasing (decreasing) the levels of proteins related to ATP synthase in roots (leaves); enhancing the levels of proteins involved in reactive oxygen species (ROS) scavenging and other stress-responsive proteins; accelerating proteolytic cleavage of proteins by proteases, protein transport and amino acid metabolism; and upregulating the levels of proteins involved in cell wall and cytoskeleton metabolism. CONCLUSIONS: Our results demonstrated that proteomics were more affected by long-term Mg-deficiency in leaves than in roots, and that the adaptive responses differed between roots and leaves when exposed to long-term Mg-deficiency. Mg-deficiency decreased the levels of many proteins involved in photosynthesis, thus decreasing leaf photosynthesis.
PXD012414	25889401	Diagnosing inflammation and infection in the urinary system via proteomics. 	Diagnosing inflammation and infection in the urinary system via proteomics	Gardnerella, Inflammation, Innate immune response, Klebsiella, Metaproteomics, Neutrophil infiltration, Urinary tract infection, Urine diagnostics, Uropathogen	BACKGROUND: Current methodology for the diagnosis of diseases in the urinary system includes patient symptomology, urine analysis and urine culture. Asymptomatic bacteriuria from urethral colonization or indwelling catheters, sample contamination from perineal or vaginal sources, and non-infectious inflammatory conditions can mimic UTIs, leading to uncertainty on medical treatment decisions. METHODS: Innovative shotgun metaproteomic methods were used to analyze urine sediments from 120 patients also subjected to conventional urinalysis for various clinical reasons including suspected UTIs. The proteomic data were simultaneously searched for the presence of microbial agents, inflammation, immune responses against pathogens, and evidence of urothelial tissue injury. Hierarchical clustering analysis was performed to identify host protein patterns discerning UTI from urethral colonization and vaginal contamination of urine samples. RESULTS: Organisms causing more than 98% of all UTIs and commensal microbes of the urogenital and perineal area were identified from 76 urine sediments with detection sensitivities estimated to be similar to urine culture. Proteomic data permitted a thorough evaluation of inflammatory and antimicrobial immune responses. Hierarchical clustering of the data revealed that high abundances of proteins from activated neutrophils were associated with pathogens in most cases, and correlated well with leukocyte esterase activities and leukocyte counts via microscopy. Proteomic data also allowed assessments of urothelial injury, by quantifying proteins highly expressed in red blood cells and contributing to the acute phase response. Lactobacillus and Gardnerella vaginalis were frequently identified suggesting urethral colonization and/or vaginal contamination of urine. CONCLUSIONS: A metaproteomic approach of interest for routine urine clinical diagnostics is presented. As compared to urinalysis and urine culture methods, the data are derived from a single experiment for a given sample and provide additional insights into presence or absence of inflammatory responses and vaginal contamination of urine specimens.
PXD000589	25894527	A mass spectrometric-derived cell surface protein atlas. 	Cell Surface Protein Atlas	CSPA, cell surface capture, surfaceome	Cell surface proteins are major targets of biomedical research due to their utility as cellular markers and their extracellular accessibility for pharmacological intervention. However, information about the cell surface protein repertoire (the surfaceome) of individual cells is only sparsely available. Here, we applied the Cell Surface Capture (CSC) technology to 41 human and 31 mouse cell types to generate a mass-spectrometry derived Cell Surface Protein Atlas (CSPA) providing cellular surfaceome snapshots at high resolution. The CSPA is presented in form of an easy-to-navigate interactive database, a downloadable data matrix and with tools for targeted surfaceome rediscovery (http://wlab.ethz.ch/cspa). The cellular surfaceome snapshots of different cell types, including cancer cells, resulted in a combined dataset of 1492 human and 1296 mouse cell surface glycoproteins, providing experimental evidence for their cell surface expression on different cell types, including 136 G-protein coupled receptors and 75 membrane receptor tyrosine-protein kinases. Integrated analysis of the CSPA reveals that the concerted biological function of individual cell types is mainly guided by quantitative rather than qualitative surfaceome differences. The CSPA will be useful for the evaluation of drug targets, for the improved classification of cell types and for a better understanding of the surfaceome and its concerted biological functions in complex signaling microenvironments.
PXD000811	25896609	Genetic Background is a Key Determinant of Glomerular Extracellular Matrix Composition and Organization. 	Mouse kidney glomerular extracellular matrix LC-MSMS	extracellular matrix, glomerular, kidney	Glomerular disease often features altered histologic patterns of extracellular matrix (ECM). Despite this, the potential complexities of the glomerular ECM in both health and disease are poorly understood. To explore whether genetic background and sex determine glomerular ECM composition, we investigated two mouse strains, FVB and B6, using RNA microarrays of isolated glomeruli combined with proteomic glomerular ECM analyses. These studies, undertaken in healthy young adult animals, revealed unique strain- and sex-dependent glomerular ECM signatures, which correlated with variations in levels of albuminuria and known predisposition to progressive nephropathy. Among the variation, we observed changes in netrin 4, fibroblast growth factor 2, tenascin C, collagen 1, meprin 1-alpha, and meprin 1-beta. Differences in protein abundance were validated by quantitative immunohistochemistry and Western blot analysis, and the collective differences were not explained by mutations in known ECM or glomerular disease genes. Within the distinct signatures, we discovered a core set of structural ECM proteins that form multiple protein-protein interactions and are conserved from mouse to man. Furthermore, we found striking ultrastructural changes in glomerular basement membranes in FVB mice. Pathway analysis of merged transcriptomic and proteomic datasets identified potential ECM regulatory pathways involving inhibition of matrix metalloproteases, liver X receptor/retinoid X receptor, nuclear factor erythroid 2-related factor 2, notch, and cyclin-dependent kinase 5. These pathways may therefore alter ECM and confer susceptibility to disease.
PXD001580	25896739	Proteomic analysis of canola root inoculated with bacteria under salt stress. 	Proteomic Analysis of Canola Inoculated with Bacteria under Salt Stress	bacteria, canola, salinity	Plant-growth promoting bacteria can ameliorate the negative effects of salt stress on canola. To better understand the role of bacteria in canola under salt stress, salt-sensitive (Sarigol) and salt-tolerant (Hyola308) cultivars were inoculated with Pseudomonas fluorescens and protein profiles of roots were compared. Bacterial inoculation increased the dry weight and length of canola roots under salt stress. Using a gel-free proteomic technique, 55 commonly changed proteins were identified in Sarigol and Hyola308 roots inoculated with bacteria under salt stress. In both canola cultivars, proteins related to amino acid metabolism and tricarboxylic acid cycle were affected. Hierarchical cluster analysis divided the identified proteins into three clusters. Proteins related to Clusters II and III, which were secretion-associated RAS super family 1, dynamin-like protein, and histone, were increased in roots of both Sarigol and Hyola308 inoculated with bacteria under salt stress. Based on pathway mapping, proteins related to amino acid metabolism and the tricarboxylic acid cycle significantly changed in canola cultivars inoculated with or without bacteria under salt stress. These results suggest that bacterial inoculation of canola roots increases tolerance to salt stress by proteins related to energy metabolism and cell division. BIOLOGICAL SIGNIFICANCE: Plant-growth promoting bacteria as an emerging aid can ameliorate the negative effect of salt stress on canola. To understand the role of bacteria in canola under salt stress, salt sensitive Sarigol and tolerant Hyola308 cultivars were used. Dry weight and length of canola root were improved by inoculation of bacteria under salt stress. Using gel-free proteomic technique, 55 commonly changed proteins identified in Sarigol and Hyola308 inoculated with bacteria under salt stress. In both canola cultivars, the number of proteins related to amino acid metabolism and tricarboxylic acid cycle was more than other categories with higher change in protein abundance. Hierarchical cluster analysis divided into 3 clusters. Cluster II including secretion-associated RAS super family 1 and dynamin-like protein and Cluster III including histones H2A were increased by bacterial inoculation in both cultivars. Furthermore, pathway mapping highlighted the importance of S-denosylmethionine synthetase and malate dehydrogenase that decreased in canola inoculated with bacteria under salt stress. These results suggest that bacterial inoculation helps the canola to endure salt stress by modulating the proteins related to energy metabolism and cell division.
PXD000029	25903579	Combined Proteomics and Transcriptomics Identifies Carboxypeptidase B1 and Nuclear Factor kappaB (NF-kappaB) Associated Proteins as Putative Biomarkers of Metastasis in Low Grade Breast Cancer. 	Combined proteomics and transcriptomics identifies carboxypeptidase B1 and NF-ÎºB associated proteins as putative biomarkers of metastasis in low grade breast cancer	Breast cancer, Carboxypeptidase-B1, NF-ï«B, Orbitrap FTMS, biomarkers, cancer biology, gene expression, iTRAQ, low grade, metastasis, transcriptomics	Current prognostic factors are insufficient for precise risk-discrimination in breast cancer patients with low grade breast tumors, which, in disagreement with theoretical prognosis, occasionally form early lymph node metastasis. To identify markers for this group of patients, we employed iTRAQ-2DLC-MS/MS proteomics to 24 lymph node positive and 24 lymph node negative grade 1 luminal A primary breast tumors. Another group of 48 high-grade tumors (luminal B, triple negative, Her-2 subtypes) was also analyzed to investigate marker specificity for grade 1 luminal A tumors. From the total of 4405 proteins identified (FDR < 5%), the top 65 differentially expressed together with 30 previously identified and control markers were analyzed also at transcript level. Increased levels of carboxypeptidase B1 (CPB1), PDZ and LIM domain protein 2 (PDLIM2), and ring finger protein 25 (RNF25) were associated specifically with lymph node positive grade 1 tumors, whereas stathmin 1 (STMN1) and thymosin beta 10 (TMSB10) associated with aggressive tumor phenotype also in high grade tumors at both protein and transcript level. For CPB1, these differences were also observed by immunohistochemical analysis on tissue microarrays. Up-regulation of putative biomarkers in lymph node positive (versus negative) luminal A tumors was validated by gene expression analysis of an independent published data set (n = 343) for CPB1 (p = 0.00155), PDLIM2 (p = 0.02027) and RELA (p = 0.00015). Moreover, statistically significant connections with patient survival were identified in another public data set (n = 1678). Our findings indicate unique pro-metastatic mechanisms in grade 1 tumors that can include up-regulation of CPB1, activation of NF-kappaB pathway and changes in cell survival and cytoskeleton. These putative biomarkers have potential to identify the specific minor subpopulation of breast cancer patients with low grade tumors who are at higher than expected risk of recurrence and who would benefit from more intensive follow-up and may require more personalized therapy.
PXD004890	25909888	Synaptic dysfunction, memory deficits and hippocampal atrophy due to ablation of mitochondrial fission in adult forebrain neurons. 	Analysis of ablation of mitochondrial fission in adult forebrain neurons	TMT, neurons, synaptic dysfunction	Well-balanced mitochondrial fission and fusion processes are essential for nervous system development. Loss of function of the main mitochondrial fission mediator, dynamin-related protein 1 (Drp1), is lethal early during embryonic development or around birth, but the role of mitochondrial fission in adult neurons remains unclear. Here we show that inducible Drp1 ablation in neurons of the adult mouse forebrain results in progressive, neuronal subtype-specific alterations of mitochondrial morphology in the hippocampus that are marginally responsive to antioxidant treatment. Furthermore, DRP1 loss affects synaptic transmission and memory function. Although these changes culminate in hippocampal atrophy, they are not sufficient to cause neuronal cell death within 10 weeks of genetic Drp1 ablation. Collectively, our in vivo observations clarify the role of mitochondrial fission in neurons, demonstrating that Drp1 ablation in adult forebrain neurons compromises critical neuronal functions without causing overt neurodegeneration.
PXD001785	25909947	Proteome Analysis of Watery Saliva Secreted by Green Rice Leafhopper, Nephotettix cincticeps. 	Gel-free based nano LC-MS/MS analysis of green rice leafhopper saliva	Gel-free, green rice leafhopper saliva, nano LC-MS/MS	The green rice leafhopper, Nephotettix cincticeps, is a vascular bundle feeder that discharges watery and gelling saliva during the feeding process. To understand the potential functions of saliva for successful and safe feeding on host plants, we analyzed the complexity of proteinaceous components in the watery saliva of N. cincticeps. Salivary proteins were collected from a sucrose diet that adult leafhoppers had fed on through a membrane of stretched parafilm. Protein concentrates were separated using SDS-PAGE under reducing and non-reducing conditions. Six proteins were identified by a gas-phase protein sequencer and two proteins were identified using LC-MS/MS analysis with reference to expressed sequence tag (EST) databases of this species. Full -length cDNAs encoding these major proteins were obtained by rapid amplification of cDNA ends-PCR (RACE-PCR) and degenerate PCR. Furthermore, gel-free proteome analysis that was performed to cover the broad range of salivary proteins with reference to the latest RNA-sequencing data from the salivary gland of N. cincticeps, yielded 63 additional protein species. Out of 71 novel proteins identified from the watery saliva, about 60 % of those were enzymes or other functional proteins, including GH5 cellulase, transferrin, carbonic anhydrases, aminopeptidase, regucalcin, and apolipoprotein. The remaining proteins appeared to be unique and species- specific. This is the first study to identify and characterize the proteins in watery saliva of Auchenorrhyncha species, especially sheath-producing, vascular bundle-feeders.
