PXD044921	39223388	An engineered trafficking biosensor reveals a role for DNAJC13 in DOR downregulation. 	A genome-wide CRISPR interference screen using an engineered trafficking biosensor  reveals a role for DNAJC13 in opioid receptor downregulation	APEX2, DNAJC13, GPCR, endolysosome, endosomal sorting, isobaric labeling, opioid receptor, proximity labeling, quantitative proteomics	Trafficking of G protein-coupled receptors (GPCRs) through the endosomal-lysosomal pathway is critical to homeostatic regulation of GPCRs following activation with agonist. Identifying the genes involved in GPCR trafficking is challenging due to the complexity of sorting operations and the large number of cellular proteins involved in the process. Here, we developed a high-sensitivity biosensor for GPCR expression and agonist-induced trafficking to the lysosome by leveraging the ability of the engineered peroxidase APEX2 to activate the fluorogenic substrate Amplex UltraRed (AUR). We used the GPCR-APEX2/AUR assay to perform a genome-wide CRISPR interference screen focused on identifying genes regulating expression and trafficking of the delta-opioid receptor (DOR). We identified 492 genes consisting of both known and new regulators of DOR function. We demonstrate that one new regulator, DNAJC13, controls trafficking of multiple GPCRs, including DOR, through the endosomal-lysosomal pathway by regulating the composition of the endosomal proteome and endosomal homeostasis.
PXD052863	39224219	Characterisation of reproductive tract microbiome and immune biomarkers for bovine genital campylobacteriosis in vaccinated and unvaccinated heifers. 	Characterisation of reproductive tract microbiome and immune biomarkers for Bovine Genital Campylobacteriosis in vaccinated and unvaccinated heifers	BGC, Biomarker, Cattle, Microbiome, Reproductive, Venereal disease	Background: Bovine genital campylobacteriosis (BGC) is a globally important venereal disease of cattle caused by Campylobacter fetus subspecies venerealis. Diagnosis of BGC is highly challenging due to the lack of accurate diagnostic tests. Methods: To characterise the biomarkers for C. fetus venerealis infection, a total of twelve cycling heifers were selected and categorised as vaccinated (n = 6) with Vibrovax(R) (Zoetis(TM)) and unvaccinated (n = 6). All heifers were oestrous synchronised with a double dose of prostaglandin (PGF2alpha) 11 days apart and when in oestrous intravaginally challenged with 2.7 x 10(9) CFU live C. fetus venerealis. DNA extracted from vaginal mucus samples was screened using a C. fetus qPCR and 16S rRNA was characterised using Illumina sequencing (V5-V8 region). Relative abundances of serum proteins were calculated using sequential window acquisition of all theoretical fragment ion spectra coupled to tandem mass spectrometry (SWATH-MS) for all heifers at three timepoints: pre-challenge, post-challenge and post-recovery. Results: In 16S rRNA sequencing of vaginal mucus, Campylobacter spp. appeared two days following challenge in unvaccinated compared to 14 days in vaccinated animals, consistent with the qPCR results. Increased relative abundances of Firmicutes and Campylobacterota were identified after C. fetus venerealis challenge and were associated with C. fetus venerealis in vaccinated and unvaccinated heifers. Greater relative abundance of Streptococcus spp. was observed during oestrous rather than dioestrous. In both vaccinated and unvaccinated heifers, Acinetobacter spp. increased after challenge with higher abundance of Corynebacterium spp. in the vaccinated group. A total of 130 unique proteins were identified in SWATH analysis of the serum samples, and the number of differentially abundant proteins found was higher in the vaccinated group after recovery from infection compared to pre-and post-challenge (adjusted P < 0.05 and Log2FC > 0.2). Conclusion: Coglutinin, clusterin, HP homologs, vitamin D binding protein and fetuin B were identified as potential biomarkers for C. fetus venerealis infection and need further study to validate their efficiency as immune biomarkers for BGC.
PXD049439	39225086	Fkbp5 gene deletion: Circadian rhythm profile and brain proteomics in aged mice. 	Fkbp5 Gene Deletion: Impacts on Circadian Rhythmicity and Brain Proteomics in Aged Mice	DIA, Fkbp5, KO, PRM, aged, amygdala, brain, hippocampus, knock out	FKBP51, also known as FK506-binding protein 51, is a molecular chaperone and scaffolding protein with significant roles in regulating hormone signaling and responding to stress. Genetic variants in FKBP5, which encodes FKBP51, have been implicated in a growing number of neuropsychiatric disorders, which has spurred efforts to target FKBP51 therapeutically. However, the molecular mechanisms and sub-anatomical regions influenced by FKBP51 in these disorders are not fully understood. In this study, we aimed to examine the impact of Fkbp5 ablation using circadian phenotyping and molecular analyses. Our findings revealed that the lack of FKBP51 did not significantly alter circadian rhythms, as detected by wheel-running activity, but did offer protection against stress-mediated disruptions in rhythmicity in a sex-dependent manner. Protein changes in Fkbp5 KO mice, as measured by histology and proteomics, revealed alterations in a brain region- and sex-dependent manner. Notably, regardless of sex, aged Fkbp5 KOs showed elevated MYCBP2, FBXO45, and SPRYD3 levels, which are associated with neuronal-cell adhesion and synaptic integrity. Additionally, pathways such as serotonin receptor signaling and S100 family signaling were differentially regulated in Fkbp5 KO mice. Weighted protein correlation network analysis identified protein networks linked with synaptic transmission and neuroinflammation. The information generated by this work can be used to better understand the molecular changes in the brain during aging and in the absence of Fkbp5, which has implications for the continued development of FKBP51-focused therapeutics for stress-related disorders.
PXD055020	39226359	ER-associated degradation ligase HRD1 links ER stress to DNA damage repair by modulating the activity of DNA-PKcs. 	ER-associated degradation ligase HRD1 links ER stress to DNA damage repair by modulating the activity of DNA-PKcs	DNA damage, HDAC1, HRD1, KU70/KU80, TRIM25, endoplasmic reticulum stress	Proteostasis and genomic integrity are respectively regulated by the endoplasmic reticulum-associated protein degradation (ERAD) and DNA damage repair signaling pathways, with both pathways essential for carcinogenesis and drug resistance. How these signaling pathways coordinate with each other remains unexplored. We found that ER stress specifically induces the DNA-PKcs-regulated nonhomologous end joining (NHEJ) pathway to amend DNA damage and impede cell death. Intriguingly, sustained ER stress rapidly decreased the activity of DNA-PKcs and DNA damage accumulated, facilitating a switch from adaptation to cell death. This DNA-PKcs inactivation was caused by increased KU70/KU80 protein degradation. Unexpectedly, the ERAD ligase HRD1 was found to efficiently destabilize the classic nuclear protein HDAC1 in the cytoplasm, by catalyzing HDAC1's polyubiquitination at lysine 74, at a late stage of ER stress. By abolishing HDAC1-mediated KU70/KU80 deacetylation, HRD1 transmits ER signals to the nucleus. The resulting enhanced KU70/KU80 acetylation provides binding sites for the nuclear E3 ligase TRIM25, resulting in the promotion of polyubiquitination and the degradation of KU70/KU80 proteins. Both in vitro and in vivo cancer models showed that genetic or pharmacological inhibition of HADC1 or DNA-PKcs sensitizes colon cancer cells to ER stress inducers, including the Food and Drug Administration-approved drug celecoxib. The antitumor effects of the combined approach were also observed in patient-derived xenograft models. These findings identify a mechanistic link between ER stress (ERAD) in the cytoplasm and DNA damage (NHEJ) pathways in the nucleus, indicating that combined anticancer strategies may be developed that induce severe ER stress while simultaneously inhibiting KU70/KU80/DNA-PKcs-mediated NHEJ signaling.
PXD048796	39226405	Novel Perspective on Molecular and Cellular Adaptations of the Mammary Gland-Regulating Milk Constituents and Immunity of Heat-Stressed Dairy Cows. 	Molecular and cellular adaptations of the mammary gland regulating milk constitutes and immunity of heat stressed dairy cows	adaptation, dairy cows, hyperthermia, inflammation, udder	Climate change with increasing ambient temperatures negatively influences the biology of dairy cows and their milk production in the mammary gland (MG). This study aimed to elucidate the MG proteome, differences in milk composition, and ruminal short-chain fatty acid concentrations of dairy cows experiencing 7 days of heat stress [HS, 28 degreesC, temperature humidity index (THI) = 76], pair-feeding (PF), or ad libitum feeding (CON) at thermoneutrality (16 degreesC, THI = 60). Ruminal acetate, acetate/propionate ratio, and milk urea concentrations were greater, whereas milk protein and lactose were lower in HS than in control cows. Proteome analysis revealed an induced bacterial invasion of epithelial cells, leukocyte transendothelial migration, reduction of the pyruvate and carbon metabolism, and platelet activation in the MG of HS compared to CON or PF cows. These results highlight adaptive metabolic and immune responses to mitigate the negative effects of ambient heat in the MG.
PXD046667	39227156	Beyond Glycolysis: Aldolase A is a Novel Effector in Reelin Mediated Dendritic Development. 	Glycolytic enzyme aldolase A is necessary for reelin mediated neurite growth and arborization	Aldolase A, LC-MS, Neurite growth, Reelin	Reelin, a secreted glycoprotein, plays a crucial role in guiding neocortical neuronal migration, dendritic outgrowth and arborization, and synaptic plasticity in the adult brain. Reelin primarily operates through the canonical lipoprotein receptors apolipoprotein E receptor 2 (Apoer2) and very low-density lipoprotein receptor (Vldlr). Reelin also engages with non-canonical receptors and unidentified co-receptors; however, the effects of which are less understood. Using high-throughput tandem mass tag LC-MS/MS-based proteomics and gene set enrichment analysis, we identified both shared and unique intracellular pathways activated by Reelin through its canonical and non-canonical signaling in primary murine neurons of either sex during dendritic growth and arborization. We observed pathway crosstalk related to regulation of cytoskeleton, neuron projection development, protein transport, and actin filament-based process. We also found enriched gene sets exclusively by the non-canonical Reelin pathway including protein translation, mRNA metabolic process and ribonucleoprotein complex biogenesis suggesting Reelin fine-tunes neuronal structure through distinct signaling pathways. A key discovery is the identification of aldolase A, a glycolytic enzyme and actin binding protein, as a novel effector of Reelin signaling. Reelin induced de novo translation and mobilization of aldolase A from the actin cytoskeleton. We demonstrated that aldolase A is necessary for Reelin-mediated dendrite growth and arborization in primary murine neurons and mouse brain cortical neurons. Interestingly, the function of aldolase A in dendrite development is independent of its known role in glycolysis. Altogether, our findings provide new insights into the Reelin-dependent signaling pathways and effector proteins that are crucial for dendritic development.Significance Statement Reelin is an extracellular glycoprotein that exerts its function primarily by binding to the canonical lipoprotein receptors Apoer2 and Vldlr. Reelin is best known for its role in neuronal migration during prenatal brain development. Reelin also signals through a non-canonical pathway outside of Apoer2/Vldlr; however, these receptors and signal transduction pathways are less defined. Here, we examined Reelin's role during dendritic outgrowth in primary murine neurons and identified shared and distinct pathways activated by canonical and non-canonical Reelin signaling. We also found aldolase A as a novel effector of Reelin signaling, that functions independently of its known metabolic role, highlighting Reelin's influence on neuronal structure and growth.
PXD036010	39227581	Fibre-specific mitochondrial protein abundance is linked to resting and post-training mitochondrial content in the muscle of men. 	Proteomics reveals a fibre-type specific mitochondrial remodelling with moderate- but not very high-intensity training	exercise, fibre type, single fibre, training	Analyses of mitochondrial adaptations in human skeletal muscle have mostly used whole-muscle samples, where results may be confounded by the presence of a mixture of type I and II muscle fibres. Using our adapted mass spectrometry-based proteomics workflow, we provide insights into fibre-specific mitochondrial differences in the human skeletal muscle of men before and after training. Our findings challenge previous conclusions regarding the extent of fibre-type-specific remodelling of the mitochondrial proteome and suggest that most baseline differences in mitochondrial protein abundances between fibre types reported by us, and others, might be due to differences in total mitochondrial content or a consequence of adaptations to habitual physical activity (or inactivity). Most training-induced changes in different mitochondrial functional groups, in both fibre types, were no longer significant in our study when normalised to changes in markers of mitochondrial content.
PXD045612	39228271	Molecular fingerprint by omics-based approaches in saliva from patients affected by SARS-CoV-2 infection. 	Molecular fingerprint by omics-based approaches in saliva from patients affected by SARS-CoV-2 infection	amino acids, metabolomics, peptides	Clinical expression of coronavirus disease 2019 (COVID-19) infectionis widely variable including fatal cases and patients with mild symptoms and a rapid resolution. We studied saliva from 63 hospitalized COVID-19 patients and from 30 healthy controls by integrating large-scale proteomics, peptidomics and targeted metabolomics to assess the biochemical alterations following the infection and to obtain a set of putative biomarkers useful for noninvasive diagnosis. We used an untargeted approach by using liquid chromatography-tandem mass spectrometry (LC-MS/MS) for proteomics and peptidomics analysis and targeted LC-multiple reaction monitoring/MS for the analysis of amino acids. The levels of 77 proteins were significantly different in COVID-19 patients. Among these, seven proteins were found only in saliva from patients with COVID-19, four were up-regulated and three were down-regulated at least five-folds in saliva from COVID-19 patients in comparison to controls. The analysis of proteins revealed a complex balance between pro-inflammatory and anti-inflammatory proteins and a reduced amount of several proteins with immune activity that possibly favours the spreading of the virus. Such reduction could be related to the enhanced activity of endopeptidases induced by the infection that in turn caused an altered balance of free peptides. In fact, on a total of 28 peptides, 22 (80%) were differently expressed in severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) and control subjects. The multivariate analysis of such peptides permits to obtain a diagnostic algorithm that discriminate the two populations with a high diagnostic efficiency. Among amino acids, only threonine resulted significantly different between COVID-19 patients and controls, while alanine levels were significantly different between COVID-19 patients with different severity. In conclusion, the present study defined a set of molecules to be detected with a quick and easy method based on mass spectrometry tandem useful to reveal biochemical alterations involved in the pathogenesis of such a complex disease. Data are available via ProteomeXchange with identifier PXD045612.
PXD066893	39229090	Mitochondrial complex III-derived ROS amplify immunometabolic changes in astrocytes and promote dementia pathology. 	Mitochondrial complex III-derived ROS amplify immunometabolic changes in astrocytes and promote dementia pathology	Astrocyte, Cysteine proteomics	Neurodegenerative disorders alter mitochondrial functions, including the production of reactive oxygen species (ROS). Mitochondrial complex III (CIII) generates ROS implicated in redox signaling, but its triggers, targets, and disease relevance are not clear. Using site-selective suppressors and genetic manipulations together with mitochondrial ROS imaging and multiomic profiling, we found that CIII is the dominant source of ROS production in astrocytes exposed to neuropathology-related stimuli. Astrocytic CIII-ROS production was dependent on nuclear factor-kappaB (NF-kappaB) and the mitochondrial sodium-calcium exchanger (NCLX) and caused oxidation of select cysteines within immune and metabolism-associated proteins linked to neurological disease. CIII-ROS amplified metabolomic and pathology-associated transcriptional changes in astrocytes, with STAT3 activity as a major mediator, and facilitated neuronal toxicity in a non-cell- autonomous manner. As proof-of-concept, suppression of CIII-ROS in mice decreased dementia-linked tauopathy and neuroimmune cascades and extended lifespan. Our findings establish CIII-ROS as an important immunometabolic signal transducer and tractable therapeutic target in neurodegenerative disease.
PXD038011	39229160	Extracellular Vesicles heterogeneity through the lens of multiomics. 	Integration of the whole proteome and transcriptome reveals a strong correlation between the protein and mRNA in a distinct population of cancer-derived EVs	Cancer-derived EV, Prostate Cancer, Transcriptomics	Extracellular vesicles (EVs) are heterogenous in size, biogenesis, cargo and function. Beside small EVs, aggressive tumor cells release a population of particularly large EVs, namely large oncosomes (LO). This study provides the first resource of label-free quantitative proteomics of LO and small EVs obtained from distinct cancer cell types (prostate, breast, and glioma). This dataset was integrated with a SWATH Proteomic assay on LO, rigorously isolated from the plasma of patients with metastatic prostate cancer (PC). Proteins enriched in LO, which were identified also at the RNA level, and found in plasma LO significantly correlated with PC progression. Single EV RNA-Seq of the PC cell-derived LO confirmed some of the main findings from the bulk RNA-Seq, providing first evidence that single cell technologies can be successfully applied to EVs. This multiomics resource of cancer EVs can be leveraged for developing a multi-analyte approach for liquid biopsy.
PXD055014	39232011	Sortilin-mediated translocation of mitochondrial ACSL1 impairs adipocyte thermogenesis and energy expenditure in male mice. 	Sortilin-mediated translocation of mitochondrial ACSL1 impairs adipocyte thermogenesis and energy expenditure in male mice	ACSL1, Sortilin, thermogenesis	Beige fat activation involves a fuel switch to fatty acid oxidation following chronic cold adaptation. Mitochondrial acyl-CoA synthetase long-chain family member 1 (ACSL1) localizes in the mitochondria and plays a key role in fatty acid oxidation; however, the regulatory mechanism of the subcellular localization remains poorly understood. Here, we identify an endosomal trafficking component sortilin (encoded by Sort1) in adipose tissues that shows dynamic expression during beige fat activation and facilitates the translocation of ACSL1 from the mitochondria to the endolysosomal pathway for degradation. Depletion of sortilin in adipocytes results in an increase of mitochondrial ACSL1 and the activation of AMPK/PGC1alpha signaling, thereby activating beige fat and preventing high-fat diet (HFD)-induced obesity and insulin resistance. Collectively, our findings indicate that sortilin controls adipose tissue fatty acid oxidation by substrate fuel selection during beige fat activation and provides a potential targeted approach for the treatment of metabolic diseases.
PXD038386	39232161	CDK5-cyclin B1 regulates mitotic fidelity. 	CDK5-Cyclin B1 regulates mitotic progression and fidelity	1NM-PP1, CDK5, IMAC, RPE1, TMT, bRP fractionation, cell line, dTAG-13, phosphopeptides	CDK1 has been known to be the sole cyclin-dependent kinase (CDK) partner of cyclin B1 to drive mitotic progression(1). Here we demonstrate that CDK5 is active during mitosis and is necessary for maintaining mitotic fidelity. CDK5 is an atypical CDK owing to its high expression in post-mitotic neurons and activation by non-cyclin proteins p35 and p39(2). Here, using independent chemical genetic approaches, we specifically abrogated CDK5 activity during mitosis, and observed mitotic defects, nuclear atypia and substantial alterations in the mitotic phosphoproteome. Notably, cyclin B1 is a mitotic co-factor of CDK5. Computational modelling, comparison with experimentally derived structures of CDK-cyclin complexes and validation with mutational analysis indicate that CDK5-cyclin B1 can form a functional complex. Disruption of the CDK5-cyclin B1 complex phenocopies CDK5 abrogation in mitosis. Together, our results demonstrate that cyclin B1 partners with both CDK5 and CDK1, and CDK5-cyclin B1 functions as a canonical CDK-cyclin complex to ensure mitotic fidelity.
PXD040662	39232464	Global and single-cell proteomics view of the co-evolution between neural progenitors and breast cancer cells in a co-culture model. 	Breast cancer cell lines in co-culture with hESC-derived nerual progenitor cells	Breast cancer, Orbitrap Fusion Eclipse, TMT 16-plex, cell lines, co-culture, hESC-derived neural progenitor cells	BACKGROUND: Presence of nerves in tumours, by axonogenesis and neurogenesis, is gaining increased attention for its impact on cancer initiation and development, and the new field of cancer neuroscience is emerging. A recent study in prostate cancer suggested that the tumour microenvironment may influence cancer progression by recruitment of Doublecortin (DCX)-expressing neural progenitor cells (NPCs). However, the presence of such cells in human breast tumours has not been comprehensively explored. METHODS: Here, we investigate the presence of DCX-expressing cells in breast cancer stromal tissue from patients using Imaging Mass Cytometry. Single-cell analysis of 372,468 cells across histopathological images of 107 breast cancers enabled spatial resolution of neural elements in the stromal compartment in correlation with clinicopathological features of these tumours. In parallel, we established a 3D in vitro model mimicking breast cancer neural progenitor-innervation and examined the two cell types as they co-evolved in co-culture by using mass spectrometry-based global proteomics. FINDINGS: Stromal presence of DCX + cells is associated with tumours of higher histological grade, a basal-like phenotype, and shorter patient survival in tumour tissue from patients with breast cancer. Global proteomics analysis revealed significant changes in the proteomic landscape of both breast cancer cells and neural progenitors in co-culture. INTERPRETATION: These results support that neural involvement plays an active role in breast cancer and warrants further studies on the relevance of nerve elements for tumour progression. FUNDING: This work was supported by the Research Council of Norway through its Centre of Excellence funding scheme, project number 223250 (to L.A.A), the Norwegian Cancer Society (to L.A.A. and H.V.), the Regional Health Trust Western Norway (Helse Vest) (to L.A.A.), the Meltzer Research Fund (to H.V.) and the National Institutes of Health (NIH)/NIGMS grant R01 GM132129 (to J.A.P.).
PXD053336	39232499	A chemical screen identifies PRMT5 as a therapeutic vulnerability for paclitaxel-resistant triple-negative breast cancer. 	A chemical screen identifies PRMT5 as a therapeutic vulnerability for paclitaxel-resistant triple-negative breast cancer	AURKB, PRMT5, RNA-splicing, TNBC, mitosis, paclitaxel-resistant	Paclitaxel-resistant triple negative breast cancer (TNBC) remains one of the most challenging breast cancers to treat. Here, using an epigenetic chemical probe screen, we uncover an acquired vulnerability of paclitaxel-resistant TNBC cells to protein arginine methyltransferases (PRMTs) inhibition. Analysis of cell lines and in-house clinical samples demonstrates that resistant cells evade paclitaxel killing through stabilizing mitotic chromatin assembly. Genetic or pharmacologic inhibition of PRMT5 alters RNA splicing, particularly intron retention of aurora kinases B (AURKB), leading to a decrease in protein expression, and finally results in selective mitosis catastrophe in paclitaxel-resistant cells. In addition, type I PRMT inhibition synergies with PRMT5 inhibition in suppressing tumor growth of drug-resistant cells through augmenting perturbation of AURKB-mediated mitotic signaling pathway. These findings are fully recapitulated in a patient-derived xenograft (PDX) model generated from a paclitaxel-resistant TNBC patient, providing the rationale for targeting PRMTs in paclitaxel-resistant TNBC.
PXD051967	39233478	Cell-Permeable Nicotinamide Adenine Dinucleotides for Exploration of Cellular Protein ADP-Ribosylation. 	Identification of ADP-ribosylation targets in living HeLa cells using cell-permeable NAD+ probes	ADP-ribosylation, HeLa cells, NAD+, affinity enrichment, cell-permeable probes	Posttranslational modifications (PTMs) greatly enhance the functional diversity of proteins, surpassing the number of gene-encoded variations. One intriguing PTM is ADP-ribosylation, which utilizes nicotinamide adenine dinucleotide (NAD+) as a substrate and is essential in cell signaling pathways regulating cellular responses. Here, we report the first cell-permeable NAD+ analogs and demonstrate their utility for investigating cellular ADP-ribosylation. Using a desthiobiotin-labelled analog for affinity enrichment of proteins that are ADP-ribosylated in living cells under oxidative stress, we identified protein targets associated with host-virus interactions, DNA damage and repair, protein biosynthesis, and ribosome biogenesis. Most of these targets have been noted in various literature sources, highlighting the potential of our probes for cellular ADP-ribosylome studies.
PXD047623	39234310	Impact of a tailored exercise regimen on physical capacity and plasma proteome profile in post-COVID-19 condition. 	Impact of a tailored exercise regimen on physical capacity, systemic oxidative stress and plasma proteomic profile in PCC patients	Exercise, Fatigue, Long COVID, Oxidative stress, Physical activity, Physical capacity, Plasma proteomics, Post COVID-19 condition, Symptoms	Background: Individuals affected by the post-covid condition (PCC) show an increased fatigue and the so-called post-exertion malaise (PEM) that led health professionals to advise against exercise although accumulating evidence indicates the contrary. The goal of this study is to determine the impact of a closely monitored 8-week mixed exercise program on physical capacity, symptoms, fatigue, systemic oxidative stress and plasma proteomic profiles of PCC cases. Methods: Twenty-five women and men with PCC were assigned sequentially to exercise (n = 15) and non-exercise (n = 10) groups. Individuals with no PCC served as a control group. The exercise program included cardiovascular and resistance exercises. Physical capacity, physical activity level and the presence of common PCC symptoms were measured before and after the intervention. Fatigue was measured the day following each exercise session. Plasma and PBMC samples were collected at the beginning and end of the training program. Glutathione and deoxyguanosine levels in PBMC and plasma proteomic profiles were evaluated. Results: Bicep Curl (+15% vs 4%; p = 0.040) and Sit-to-Stand test (STS-30 (+31% vs +11%; p = 0.043)) showed improvement in the exercise group when compared to the non-exercise group. An interaction effect was also observed for the level of physical activity (p =0.007) with a positive effect of the program on their daily functioning and without any adverse effects on general or post-effort fatigue. After exercise, glutathione levels in PBMCs increased in women but remained unchanged in men. Discernable changes were observed in the plasma proteomics profile with certain proteins involved in inflammatory response decreasing in the exercise group. Conclusions: Supervised exercise adapted to the level of fatigue and ability is safe and effective in PCC patients in improving their general physical capacity and wellbeing. Systemic molecular markers that accompany physical improvement can be monitored by analyzing plasma proteomics and markers of oxidative stress. Large-scale studies will help identify promising molecular markers to objectively monitor patient improvement.
PXD049405	39235396	A semi-automated workflow for DIA-based global discovery to pathway-driven PRM analysis. 	A semi-automated workflow for DIA-based global discovery to pathway-driven PRM analysis	Bruker, DIA, PRM, TimsTOF, script, sem-automated	Targeted proteomics, which includes parallel reaction monitoring (PRM), is typically utilized for more precise detection and quantitation of key proteins and/or pathways derived from complex discovery proteomics datasets. Initial discovery-based analysis using data independent acquisition (DIA) can obtain deep proteome coverage with low data missingness while targeted PRM assays can provide additional benefits in further eliminating missing data and optimizing measurement precision. However, PRM method development from bioinformatic predictions can be tedious and time-consuming because of the DIA output complexity. We address this limitation with a Python script that rapidly generates a PRM method for the TIMS-TOF platform using DIA data and a user-defined target list. To evaluate the script, DIA data obtained from HeLa cell lysate (200 ng, 45-min gradient method) as well as canonical pathway information from Ingenuity Pathway Analysis was utilized to generate a pathway-driven PRM method. Subsequent PRM analysis of targets within the example pathway, regulation of apoptosis, resulted in improved chromatographic data and enhanced quantitation precision (100% peptides below 10% CV with a median CV of 2.9%, n = 3 technical replicates). The script is freely available at https://github.com/StevensOmicsLab/PRM-script and provides a framework that can be adapted to multiple DDA/DIA data outputs and instrument-specific PRM method types.
PXD053593	39237489	Rapid discovery and evolution of nanosensors containing fluorogenic amino acids. 	Nanosenors containing nonstandard amino acids	fluorogenic, nonstandard amino acids	Binding-activated optical sensors are powerful tools for imaging, diagnostics, and biomolecular sensing. However, biosensor discovery is slow and requires tedious steps in rational design, screening, and characterization. Here we report on a platform that streamlines biosensor discovery and unlocks directed nanosensor evolution through genetically encodable fluorogenic amino acids (FgAAs). Building on the classical knowledge-based semisynthetic approach, we engineer ~15 kDa nanosensors that recognize specific proteins, peptides, and small molecules with up to 100-fold fluorescence increases and subsecond kinetics, allowing real-time and wash-free target sensing and live-cell bioimaging. An optimized genetic code expansion chemistry with FgAAs further enables rapid (~3 h) ribosomal nanosensor discovery via the cell-free translation of hundreds of candidates in parallel and directed nanosensor evolution with improved variant-specific sensitivities (up to ~250-fold) for SARS-CoV-2 antigens. Altogether, this platform could accelerate the discovery of fluorogenic nanosensors and pave the way to modify proteins with other non-standard functionalities for diverse applications.
PXD043273	39237506	Exploring the structural landscape of DNA maintenance proteins. 	Exploring the structural landscape of DNA maintenance proteins	Biology/Disease-Driven Human Proteome Project (B/D-HPP), DNA damage repair, Human Proteome Project, Protein folding, ProteomeXchange project tag: Cancer (B/D-HPP)	Evolutionary annotation of genome maintenance (GM) proteins has conventionally been established by remote relationships within protein sequence databases. However, often no significant relationship can be established. Highly sensitive approaches to attain remote homologies based on iterative profile-to-profile methods have been developed. Still, these methods have not been systematically applied in the evolutionary annotation of GM proteins. Here, by applying profile-to-profile models, we systematically survey the repertoire of GM proteins from bacteria to man. We identify multiple GM protein candidates and annotate domains in numerous established GM proteins, among other PARP, OB-fold, Macro, TUDOR, SAP, BRCT, KU, MYB (SANT), and nuclease domains. We experimentally validate OB-fold and MIS18 (Yippee) domains in SPIDR and FAM72 protein families, respectively. Our results indicate that, surprisingly, despite the immense interest and long-term research efforts, the repertoire of genome stability caretakers is still not fully appreciated.
PXD053484	39238237	Minimized dark consumption of Calvin cycle intermediates facilitates the initiation of photosynthesis in Synechocystis sp. PCC 6803. 	Syn6803 Pyk-ox under light and dark	Synechocystis, pyruvate kinase	Cyanobacteria intricately regulate their metabolic pathways during the diurnal cycle to ensure survival and growth. Under dark conditions, the breakdown of glycogen, an energy reserve, in these organisms replenishes Calvin cycle intermediates, especially downstream glycolytic metabolites, which are necessary for photosynthesis initiation upon light irradiation. However, it remains unclear how the accumulation of these intermediates is maintained in the dark despite limited glycogen availability. Therefore, in this study, we investigated the regulation of downstream glycolytic metabolites of the Calvin cycle under dark and light treatment using Synechocystis sp. PCC 6803. Our results showed that during the dark period, low pyruvate kinase (Pyk) activity ensured metabolite accumulation, while endogenous Pyk overexpression significantly lowered the accumulation of glycolytic intermediates. Remarkably, wild type Synechocystis maintained oxygen evolution ability throughout dark treatment for over 2 d, while Pyk overexpression resulted in decreased oxygen evolution after 16 h of dark treatment. These results indicated that limiting Pyk activity via darkness treatment facilitates photosynthetic initiation by maintaining glycolytic intermediates. Similarly, phosphoenolpyruvate carboxylase (PepC) overexpression decreased oxygen evolution under dark treatment; however, its effect was lower than that of Pyk. Further, we noted that as PepC overexpression decreased the levels of glycolytic intermediates in the dark, sugar phosphates in the Calvin-Benson-Bassham (CBB) cycle showed high accumulation, suggesting that sugar phosphates play important roles in supporting photosynthesis initiation. Therefore, our study highlights the importance of controlling the metabolic pathways through which glycolytic and CBB cycle intermediates are consumed (defined as cataplerosis of CBB cycle) to ensure stable photosynthesis.
PXD053684	39240120	Transgenic overexpression of bmo-miR-6498-5p increases resistance to Nosema bombycis in the silkworm, Bombyx mori. 	Transgenic overexpression of bmo-miR-6498-5p increases resistance to Nosema bombycis in the silkworm, Bombyx mori	N. bombycis, Transgenic silkworm, VB6 metabolism, miR-6498-5p, resistance	Microsporidia are unfriendly microorganisms, and their infections cause considerable damage to economically or environmentally important insects like silkworms and honeybees. Thus, the identification of measures to improve host resistance to microsporidia infections is critically needed. Here, an overexpressed miR-6498-5p transgenic silkworm line was constructed. Importantly, the survival rates and median lethal doses of the transgenic line were clearly higher after infection with Nosema bombycis. H&E staining and RT-qPCR analyses revealed an inhibitory effect on the proliferation of N. bombycis in the transgenic larvae. Metabolomics analysis further revealed the presence of 56 differential metabolites between the two lines. KEGG analysis of these 56 metabolites found that they were involved in various amino acid and vitamin metabolism pathways. Notably, VB6 metabolism was enriched among the metabolites, and the pathway was well known for its involvement in the synthesis, interconversion, and degradation of amino acids. These suggest that miR-6498-5p modifies parasitic environments to inhibit the proliferation of N. bombycis by affecting the host amino acid metabolism. These results demonstrate the potential of microRNAs as biomolecules that can promote resistance to microsporidia and provide new insights and a new approach to generate microsporidia-resistant biological materials.IMPORTANCEMicrosporidia have an extremely wide host range and are capable of infecting a wide variety of insects and vertebrates, including humans, and their lethality to multiple species often poses significant environmental management challenge. Here, we successfully constructed a microsporidium-resistant line in the silkworm, based on the overexpression of miR-6498-5p. Our results strongly support the hypothesis that miR-6498-5p efficiently suppresses the proliferation of Nosema bombycis by regulating the host VB6 metabolism, a key pathway for enzymes involved in amino acid transport and protein metabolism. Our study provides new insights for understanding host anti-pathogen defenses toward microsporidia.
